"activity" "subject" "mean_timebodyaccelerometermeanX" "mean_timebodyaccelerometermeanY" "mean_timebodyaccelerometermeanZ" "mean_timebodyaccelerometerstdevX" "mean_timebodyaccelerometerstdevY" "mean_timebodyaccelerometerstdevZ" "mean_timegravityaccelerometermeanX" "mean_timegravityaccelerometermeanY" "mean_timegravityaccelerometermeanZ" "mean_timegravityaccelerometerstdevX" "mean_timegravityaccelerometerstdevY" "mean_timegravityaccelerometerstdevZ" "mean_timebodyaccelerometerjerkmeanX" "mean_timebodyaccelerometerjerkmeanY" "mean_timebodyaccelerometerjerkmeanZ" "mean_timebodyaccelerometerjerkstdevX" "mean_timebodyaccelerometerjerkstdevY" "mean_timebodyaccelerometerjerkstdevZ" "mean_timebodygiroscopemeanX" "mean_timebodygiroscopemeanY" "mean_timebodygiroscopemeanZ" "mean_timebodygiroscopestdevX" "mean_timebodygiroscopestdevY" "mean_timebodygiroscopestdevZ" "mean_timebodygiroscopejerkmeanX" "mean_timebodygiroscopejerkmeanY" "mean_timebodygiroscopejerkmeanZ" "mean_timebodygiroscopejerkstdevX" "mean_timebodygiroscopejerkstdevY" "mean_timebodygiroscopejerkstdevZ" "mean_timebodyaccelerometermagmean" "mean_timebodyaccelerometermagstdev" "mean_timegravityaccelerometermagmean" "mean_timegravityaccelerometermagstdev" "mean_timebodyaccelerometerjerkmagmean" "mean_timebodyaccelerometerjerkmagstdev" "mean_timebodygiroscopemagmean" "mean_timebodygiroscopemagstdev" "mean_timebodygiroscopejerkmagmean" "mean_timebodygiroscopejerkmagstdev" "mean_frequencybodyaccelerometermeanX" "mean_frequencybodyaccelerometermeanY" "mean_frequencybodyaccelerometermeanZ" "mean_frequencybodyaccelerometerstdevX" "mean_frequencybodyaccelerometerstdevY" "mean_frequencybodyaccelerometerstdevZ" "mean_frequencybodyaccelerometerjerkmeanX" "mean_frequencybodyaccelerometerjerkmeanY" "mean_frequencybodyaccelerometerjerkmeanZ" "mean_frequencybodyaccelerometerjerkstdevX" "mean_frequencybodyaccelerometerjerkstdevY" "mean_frequencybodyaccelerometerjerkstdevZ" "mean_frequencybodygiroscopemeanX" "mean_frequencybodygiroscopemeanY" "mean_frequencybodygiroscopemeanZ" "mean_frequencybodygiroscopestdevX" "mean_frequencybodygiroscopestdevY" "mean_frequencybodygiroscopestdevZ" "mean_frequencybodyaccelerometermagmean" "mean_frequencybodyaccelerometermagstdev" "mean_frequencybodyaccelerometerjerkmagmean" "mean_frequencybodyaccelerometerjerkmagstdev" "mean_frequencybodygiroscopemagmean" "mean_frequencybodygiroscopemagstdev" "mean_frequencybodygiroscopejerkmagmean" "mean_frequencybodygiroscopejerkmagstdev"
"LAYING" 20 0.270432935660256 -0.0189336684185897 -0.105485070792308 -0.968321653525641 -0.960011055641026 -0.965020863910256 -0.32368281625641 0.551667890833333 0.621801507435897 -0.952427098269231 -0.981571734358974 -0.973275388974359 0.081285317025641 0.0112204916771987 -0.00760806215179487 -0.982444421794872 -0.977186796602564 -0.981790972948718 -0.0153420954031282 -0.101463125522436 0.112548427699359 -0.975845883589744 -0.96675357 -0.973341446153846 -0.100825506641026 -0.037746846950641 -0.0630801719230769 -0.981142649615385 -0.982068569487179 -0.98810586198718 -0.964777468269231 -0.954585240884615 -0.964777468269231 -0.954585240884615 -0.981945819871795 -0.979156423589744 -0.949886238717949 -0.952834040705128 -0.984730057628205 -0.980313522115385 -0.971519107628205 -0.966654140320513 -0.97089285698718 -0.967210180384615 -0.959015856858974 -0.963921283205128 -0.982505421858974 -0.977408000320513 -0.980017327051282 -0.984022688589744 -0.978624148974359 -0.982085239038462 -0.972154638141026 -0.971191860769231 -0.972962522628205 -0.977202126666667 -0.964722655897436 -0.97588008974359 -0.961625700320513 -0.957436556857051 -0.978809775 -0.978571269935897 -0.963618797115385 -0.954295929935897 -0.981424870641026 -0.980078155961538
"LAYING" 24 0.265915164385827 -0.0179639033805249 -0.109220005698163 -0.963288076509186 -0.958531422309711 -0.964888753989501 -0.411427965595801 0.611827425984252 0.454804311821522 -0.945943819317585 -0.97830470328084 -0.973635831551181 0.0830935695335958 0.0105026734867979 -0.00202566028222835 -0.979361011364829 -0.970268493228346 -0.979052740524934 -0.0171593157023622 -0.0965758697512861 0.126682518790026 -0.974054912834646 -0.960825420104987 -0.967142649606299 -0.101716027845144 -0.0381232407716535 -0.0636234057530184 -0.976400828792651 -0.97626034984252 -0.984157038451444 -0.960269180393701 -0.947848889677165 -0.960269180393701 -0.947848889677165 -0.978608292572179 -0.972749001338583 -0.943612592729659 -0.945395080131234 -0.98028127656168 -0.973193157769029 -0.967021134409449 -0.961312285013123 -0.969625463805774 -0.962047602519685 -0.959413478947507 -0.964533179089239 -0.979284046299213 -0.970721933228346 -0.976329847007874 -0.981416437874016 -0.971959501574803 -0.980386294356955 -0.968246944698163 -0.964044392755905 -0.966371184908136 -0.976076229265092 -0.959629987401575 -0.970482104776903 -0.955703886257218 -0.951378672010499 -0.972892674986877 -0.971545647979003 -0.955437151994751 -0.948539195616798 -0.974284833989501 -0.973486567611549
"LAYING" 27 0.267736760583893 -0.0219809039615101 -0.109477079605369 -0.966282617818792 -0.941263359365772 -0.93577737339396 -0.293189714979866 0.736750075063758 0.44736384290604 -0.953377850889262 -0.96949242509396 -0.945209366815436 0.0801652934395973 0.0114157993647987 -0.00252231840127685 -0.978683375637584 -0.963271438221477 -0.976299339362416 -0.0200519863098993 -0.0862402882647651 0.133766759348993 -0.955999032218121 -0.966465337751678 -0.958052241610738 -0.101225808152349 -0.038050790002651 -0.0669280632516779 -0.968031283489933 -0.981364704765101 -0.980459602248322 -0.945076088439597 -0.929464198345638 -0.945076088439597 -0.929464198345638 -0.976220176409396 -0.968038919463087 -0.936175000234899 -0.927193649825503 -0.981478647919463 -0.973154588322148 -0.970069280536913 -0.947434379661074 -0.951840155167785 -0.965094113053691 -0.941679299211409 -0.932339198966443 -0.978316376442953 -0.963155615 -0.972661765872483 -0.981158834865772 -0.966257782483221 -0.978646792885906 -0.947725227480873 -0.969370087684564 -0.957859475134228 -0.958992861174497 -0.965370617416107 -0.962027541241611 -0.945847407332215 -0.932423275163758 -0.968841894697987 -0.966142014261745 -0.945033550973154 -0.928851918369128 -0.975175236677852 -0.972351514865772
"LAYING" 28 0.264504343457592 -0.0131175428052094 -0.109835665128534 -0.95941935576178 -0.948203270403141 -0.950451452921466 -0.360120662539267 0.588936189643979 0.549227788110471 -0.939246452696335 -0.967211672801047 -0.952682541780105 0.0848105796939791 0.00973194948128272 -0.00851050997593455 -0.981733866439791 -0.971508507329843 -0.981003280890052 -0.0156218611625351 -0.0971524214641361 0.122177852732984 -0.96988736604712 -0.963140169136126 -0.966170437722513 -0.103498448848168 -0.0384225735256545 -0.061199774297644 -0.977157411727749 -0.981759872670157 -0.985773955183246 -0.946381451981675 -0.934535136675393 -0.946381451981675 -0.934535136675393 -0.980468327565445 -0.975946935602094 -0.941570058586387 -0.943506321832461 -0.984068640418848 -0.978502658246073 -0.966141439109948 -0.955344538376963 -0.96186511947644 -0.957239094574084 -0.947557257764398 -0.947946065706806 -0.981510494554974 -0.972029790340314 -0.978231162879581 -0.983727187356021 -0.973030407539267 -0.982397799162304 -0.965017253115183 -0.967488770235602 -0.96657014539267 -0.971652145026178 -0.961314218193717 -0.969191782198953 -0.948769142280105 -0.937245877117801 -0.975866393167539 -0.975062809031414 -0.957111018350785 -0.944703224057592 -0.979865240575916 -0.97810155065445
"LAYING" 29 0.274965770526163 -0.0202481992503488 -0.106537901883721 -0.958394409534884 -0.934464187034884 -0.939142138633721 -0.395788979622093 0.600711570363372 0.549304982311047 -0.940021632093023 -0.952012084506105 -0.935335788078488 0.0776639010002907 0.00973557162988372 -0.00156540123938081 -0.980030644709302 -0.970383403517442 -0.979223640203488 -0.0157181087842442 -0.0899009445311047 0.133669767534884 -0.964100808313954 -0.962829844389535 -0.955529230261628 -0.101970833444767 -0.0379852699973256 -0.0662994301043605 -0.975665211453488 -0.981408149825581 -0.98424358002907 -0.924846770168605 -0.920915120415698 -0.924846770168605 -0.920915120415698 -0.9783314225 -0.974758970930233 -0.929334054767442 -0.935077156686047 -0.982372026104651 -0.978453936540698 -0.965420749156977 -0.946405704912791 -0.955232914796512 -0.956070882383721 -0.932687946511628 -0.93563023281657 -0.979834023459302 -0.970353977994186 -0.976296989854651 -0.982145006773256 -0.972662939040698 -0.980799729389535 -0.960138284011628 -0.967830968895349 -0.958270697267442 -0.96565857994186 -0.960749085726744 -0.958897640726744 -0.941562394156977 -0.923273123639535 -0.974827485290698 -0.9736887925 -0.953068951366279 -0.935449879534884 -0.979361832877907 -0.978607348430233
"LAYING" 30 0.26981020380705 -0.0190213384586423 -0.103279223 -0.955205142036553 -0.927023398044386 -0.939639272143603 -0.419594938872063 0.624953572295039 0.725192734934726 -0.936198806046997 -0.941800614516971 -0.940715285383812 0.0829474818720627 0.0143566482001044 -0.00769606729439426 -0.9808455245953 -0.976016726710183 -0.980132187650131 -0.0162739507919582 -0.0919817523832898 0.121097352879896 -0.969192288511749 -0.961928032637076 -0.964649069869452 -0.101206128780679 -0.038538182214671 -0.0624364088224543 -0.979486637963446 -0.981199463472585 -0.986909871357702 -0.918677795057441 -0.917247521122715 -0.918677795057441 -0.917247521122715 -0.980548274830287 -0.976379869477807 -0.935430943237598 -0.943319939086162 -0.984294180234987 -0.978380977832898 -0.964071072193212 -0.945452205467363 -0.954849814308094 -0.952429406002611 -0.923157079344648 -0.936457147315927 -0.980647470104439 -0.976270361227154 -0.977260044334204 -0.982891013028721 -0.977522697023499 -0.981642606501306 -0.966063555848564 -0.968109212088773 -0.966286957389034 -0.970555193681462 -0.959212450287206 -0.9674847208094 -0.939815034861619 -0.919442871023499 -0.976074382375979 -0.9757683054047 -0.95769935305483 -0.944491092428198 -0.979253903211488 -0.97853025383812
"SITTING" 12 0.264624379753731 -0.0164886549514925 -0.0939645657022388 -0.979054826268657 -0.921970164029851 -0.914696769507463 0.912159474701493 0.0181584537619403 0.125167907135821 -0.975482644626866 -0.954504449402985 -0.932531058962687 0.0769482784604478 0.00522818732865672 -0.00830196640380597 -0.981192557014925 -0.972563136044776 -0.979055372014925 -0.0414065921014925 -0.0653025243686567 0.0791432318427612 -0.977529963134328 -0.959205210074627 -0.954662477686567 -0.0942200194029851 -0.0425986197014925 -0.0494005265671642 -0.982370235895522 -0.984718585970149 -0.981283318283582 -0.941692512014925 -0.924027313134328 -0.941692512014925 -0.924027313134328 -0.979730748731343 -0.97482437238806 -0.940051177835821 -0.946061850597015 -0.985616357462687 -0.982749877761194 -0.979273093358209 -0.941937553955224 -0.943332550447761 -0.979244962761194 -0.9178315945 -0.90771536321791 -0.981385745671642 -0.972617411044776 -0.976008795970149 -0.982716703731343 -0.974582441865672 -0.980763703731343 -0.972973270970149 -0.968058443283582 -0.959623215223881 -0.979011174402985 -0.955374280522388 -0.957539120970149 -0.941832815447761 -0.926994389850746 -0.974825069104478 -0.973829776791045 -0.961562795970149 -0.946052648358209 -0.983583771119403 -0.982586341567164
"SITTING" 13 0.275288459100917 -0.0132094155374006 -0.105957686795107 -0.985125269785933 -0.934559507351682 -0.945964708623853 0.899781797186544 0.090895761930522 0.131255409469419 -0.983815528103976 -0.95888316869419 -0.952431518917431 0.0755845632342508 0.0063313546475841 -0.00274469513870581 -0.984166940611621 -0.970897988807339 -0.982344954954128 -0.0397411137201835 -0.0733117914746177 0.0735886425045872 -0.980846879266055 -0.970723698960245 -0.954369695198777 -0.0950066851712538 -0.0407296014171254 -0.0488095925829358 -0.983257866850153 -0.986527420397553 -0.983100098990826 -0.957476495076453 -0.944535652446483 -0.957476495076453 -0.944535652446483 -0.981193133119266 -0.977918291987768 -0.945417088287462 -0.953073018073395 -0.987148677737003 -0.984034533639144 -0.983937248868502 -0.946831893425076 -0.959780515082569 -0.985795730275229 -0.932540459018349 -0.942504310795107 -0.984506369847095 -0.970829859051988 -0.979484154556575 -0.985270782782875 -0.973236679816514 -0.983863389480122 -0.975895508103976 -0.974846264342508 -0.958350354525994 -0.982490946850153 -0.96875869764526 -0.957352585382263 -0.955195525972477 -0.947404386636086 -0.977392287400612 -0.977551849388379 -0.965147552385321 -0.953696655810398 -0.984465927981651 -0.984313652232416
"SITTING" 17 0.26815815849375 -0.0082257536055625 -0.1039186439975 -0.97961940628125 -0.926919841878125 -0.926896079375 0.87290898253125 0.117223457808375 0.157539715565312 -0.97217388946875 -0.950487837246875 -0.933209644125 0.0752403319554062 0.0036904415715125 -0.0023819284753125 -0.98430007453125 -0.97312219 -0.981016125 -0.0372162849199687 -0.0789941425746875 0.08003964861 -0.9769972275 -0.9634217815 -0.95142009509375 -0.097066239598125 -0.0390508214408437 -0.0522469018038375 -0.9850048393125 -0.98625542475 -0.98354025925 -0.94547913221875 -0.92655038450625 -0.94547913221875 -0.92655038450625 -0.9814634994375 -0.97783301640625 -0.9406057436875 -0.9438843344625 -0.98733349215625 -0.98431772146875 -0.9799334555625 -0.94209831096875 -0.94919045321875 -0.979663895625 -0.924032616978125 -0.921218271925 -0.98443516640625 -0.97341631815625 -0.97814340284375 -0.9856304933125 -0.97481632184375 -0.98254393934375 -0.97381024028125 -0.97032375175 -0.95544101584375 -0.978279970875 -0.9601745155625 -0.954736681 -0.9436512325 -0.92939177908125 -0.97781064440625 -0.97685474915625 -0.9596278456875 -0.94414932630625 -0.98524165028125 -0.9839866789375
"SITTING" 18 0.269750977333333 -0.0135005916266667 -0.106715375866667 -0.984616306 -0.939135999266667 -0.958794286 0.894901433666667 0.104204298334333 0.169073609533333 -0.979847027 -0.959546798666667 -0.965988958333333 0.0788106218666667 -0.00667545018 -0.000223757246333334 -0.987569103333333 -0.979453246333333 -0.986397099 -0.0366159184333333 -0.0603603019333333 0.0874492920333333 -0.988217456 -0.973698157 -0.974690653666667 -0.0964999407 -0.0410603631333333 -0.0545771745533333 -0.989569064666667 -0.987694152666667 -0.987365512333333 -0.963459243333333 -0.949063297666667 -0.963459243333333 -0.949063297666667 -0.985820991 -0.985062077666667 -0.960888283333333 -0.968354787 -0.990179825333333 -0.987200472333333 -0.984797236 -0.949377711666667 -0.968977802666667 -0.984614671 -0.9374581349 -0.955753383666667 -0.987783545 -0.97943443 -0.983761451666667 -0.988525990333333 -0.981068950333333 -0.987713422 -0.985337060666667 -0.977801208 -0.976151202 -0.989148984333333 -0.971621438333333 -0.976544496666667 -0.958031808666667 -0.951561684 -0.985284305666667 -0.983798744333333 -0.975534144 -0.968998585333333 -0.987902923333333 -0.986946515333333
